Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,113,14,TX,2,middle,5,43.6,116.1,1969,6,5630,5363,8710,94,104,8.12,55.6,0.0174,0.56,2.99,46.8,0.004,2.27,0.361,0.562,0.068
R5,114,15,TX,2,tip,5,39.7,105.7,1868,4.8,5684,5109,9404,89,91,7.88,51.1,0.0122,0.41,3.36,49.6,0.009,2.41,0.226,0.453,0.012
R5,115,16,TX,3,base,5,33.7,89.3,2060,5,6089,4839,9025,144,151,10.57,44,0.0165,0.59,3.88,57.8,0.002,2.47,0.65,0.591,0.011
R5,116,17,TX,3,middle,5,71.6,127.9,1931,11.4,5366,4510,8309,114,100,7.98,49.5,0.0106,0.34,3.5,46.7,0.004,2.35,0.388,0.467,0.026
R5,117,18,TX,3,tip,5,43.9,122.2,2059,7.1,6387,4984,10024,101,110,9.64,52,0.0159,0.49,4.21,59.3,0.004,2.8,0.388,0.55,0.013
R5,118,10,TX,1,base,6,33.9,86,1830,6.5,5909,4269,8734,109,113,9.64,37.9,0.0134,0.35,3.29,53.9,0.004,2.44,0.428,0.604,0.006
R5,119,11,TX,1,middle,6,33,96.5,1889,7.6,5643,4715,8913,78,85,8.2,49.7,0.0213,1,2.83,52.2,0.005,2.49,0.255,0.731,0.009
R5,120,12,TX,1,tip,6,43.7,117.6,1957,8,6076,4384,10217,81,70,7.95,48.2,0.017,0.69,3.64,59.6,0.004,2.78,0.18,0.623,0.011
R5,121,13,TX,2,base,6,54.4,87.4,1976,6.5,5691,4453,7839,120,126,10.22,46.3,0.0139,0.6,3.22,47.1,0.005,2.08,0.515,0.597,0.006
R5,122,14,TX,2,middle,6,54.8,100.7,1976,7.3,5428,5469,7866,75,90,7.84,53.5,0.0143,0.38,2.72,44,0.009,2.03,0.273,0.558,0.009
R5,123,15,TX,2,tip,6,40.1,75.9,2125,6.1,6150,5317,8712,64,83,8.32,53.2,0.0144,0.5,3.64,58.8,0.006,2.34,0.158,0.554,0.003
R5,124,16,TX,3,base,6,54,89.6,1951,5.9,5946,4588,8487,98,104,10.41,38,0.0149,0.34,3.45,55.7,0.008,2.51,0.348,0.605,0.008
R5,125,17,TX,3,middle,6,40.4,77,2061,5.6,5417,4840,8919,93,103,8.22,46.5,0.0155,0.38,3.02,48.6,0.01,2.46,0.296,0.48,0.006
R5,126,18,TX,3,tip,6,34.7,90.9,2054,8.3,6098,5616,10246,73,89,8.33,59,0.0184,0.6,3.66,54.5,0.014,2.93,0.201,0.557,0.016
R5,127,10,TX,1,base,7,42.9,114.6,1963,5.3,6254,5147,9077,181,167,10.39,51.3,0.0136,0.42,3.7,53.1,0.009,2.57,0.529,0.636,0.013
R5,128,11,TX,1,middle,7,32.6,84.9,1858,5.7,5655,4497,9116,68,65,8.29,61.5,0.0266,1.41,2.64,47.7,0.007,2.39,0.151,0.729,0.014
R5,129,12,TX,1,tip,7,47.4,132.4,1996,5.8,6121,5030,10766,64,67,8.37,50.1,0.0101,0.45,3.49,61.4,0.01,3.19,0.125,0.572,0.011
R5,130,13,TX,2,base,7,33.9,90.3,1976,5.5,5782,4681,7597,131,131,10.17,45,0.0142,0.46,4.2,50.6,0.014,1.9,0.477,0.712,0.006
