row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U3998,R5,34,0.2434,(B73_Il14H)S5,NA,231.1809174,116.5335577,2367.515854,17.17776865,1373.467469,4416.221663,1976.703426,5408.232336,120.5013348,5.253015817,33.17005662,0.003982991,0.351701078,1.062566234,19.98932598,0.202044189,0.564654783,3.950358394,0.120414112,0.02702343
07U3999,R5,35,0.2078,(B73_Il14H)S5,NA,381.8629784,188.1198059,2093.088725,28.30608565,1621.082506,4119.674119,2187.125723,5202.598648,131.7172283,4.728093211,32.02641612,0.004995855,0.28056942,1.411223334,21.2899769,0.243572909,0.47129505,2.718689446,0.135125179,0.089815755
07U4000,R5,36,0.1397,(B73_Il14H)S5,NA,538.1351838,248.156909,2325.215314,38.70042047,2478.465248,4110.897331,2593.055379,4546.948027,189.2927927,5.231670075,35.22391781,0.007486688,0.267709385,1.175140436,12.00451539,0.366251512,0.715713079,3.369027223,0.18455635,0.006590546
07U4001,R5,37,0.1911,Il14H,NA,305.4264093,145.3337599,2495.33096,20.21667346,2220.492425,4652.031267,2357.659126,5405.75486,163.8374306,7.24324126,32.08370358,0.004348482,0.183725307,1.490499026,21.89672799,0.28959169,0.301336208,3.82530014,0.153448913,0.08599143
07U4002,R5,38,0.3015,(B73_Il14H)S5,NA,183.4924094,89.59814049,2317.556744,10.3616541,937.8264699,3716.336205,1894.697419,2845.075654,124.2313655,5.251854625,25.44507535,0.002332841,0.435936887,1.862645585,28.52782388,0.154081456,0.303132047,2.035686339,0.118558509,0.035915829
07U4003,R5,39,0.151,(B73_Il14H)S5,NA,356.8200529,183.5123641,2506.22188,28.34441504,2194.270466,3863.931357,2480.772644,3364.806876,194.0354881,9.951638028,35.52442412,0.006064542,0.137856056,1.378610067,22.31758162,0.414618418,0.307151848,2.045323156,0.209410325,0.00859335
07U4004,R5,40,0.1698,(B73_Il14H)S5,NA,536.1013272,260.9943568,1992.267764,37.47568614,2056.208135,3775.090508,2231.056048,4803.335119,187.7424039,6.704113888,33.70636506,0.009560409,0.198544028,1.666480578,18.95793081,0.324227642,0.394377768,2.319486614,0.268943573,0.005227143
07U4005,R5,41,0.2079,(B73_Il14H)S5,NA,437.0288287,209.4385268,2010.386669,30.30676227,1767.624182,3453.758462,2016.745382,3330.076581,133.6576586,8.241071294,29.18112767,0.006144511,0.139628994,0.735483851,23.99909343,0.223701509,0.459942394,1.512740783,0.174762873,0.019378498
07U4006,R5,42,0.182,(B73_Il14H)S5,NA,464.9945152,221.0495034,2558.186423,34.17091411,2321.571812,4077.744825,2795.740783,4046.54638,144.6667273,7.382185666,38.43630938,0.005313341,0.153344019,1.638114103,20.72689893,0.259540061,0.460774955,1.868208211,0.320704145,0.026296586
07U4007,R5,43,0.1733,(B73_Il14H)S5,NA,279.4206597,139.485368,1478.395218,12.95689525,1367.679109,2555.503489,2017.205414,3352.503514,170.9018714,9.059256954,31.71534528,0.00412133,0.093037783,1.44270927,22.3481847,0.299704775,0.436230555,2.026956762,0.102823661,0.009705512
